 a few seconds| niekoľko sekúnd
 day|deň
 days|dni
 hour|hod.
 hours|hod.
 hr| hod
 hrs|hod
 lunar day| lunárny deň
 min|min
 mins| min
 minute|min.
 minutes|minúty
%d bought|%d kúpené
%d day|%d deň
%d days|%d dní
%d hour|%d hodina
%d hours|%d hodín
%d minute|%d minúta
%d minutes|%d minút
%d more...|%d viac...
%i active channel|%i aktívny kanál
%i active channels|%i aktívnych kanálov
%i image|%i obrázok
%i images|%i obrázkov
%i more today|%i viac dnes
%i more...|ešte %i ...
%i page|%i strana
%i pages|%i strán
%i%% of Full|%i%% zo splnu
%s 2007—2011 Yandex|%s 2007—2011 Yandex
(<1 min)|(<1 min)
(in|(za
(in seconds)|(za niekoľko sekúnd)
(No title)|(Bez názvu)
[ Loading images... ]|[ Nahrávanie obrázkov... ]
[ Tap here for images load ]|[ Tapnite sem pre načítanie obrázkov ]
A few minutes ago|Pred pár minútami
About|O programe
About SPB Shell 3D|O SPB Shell 3D
Above horizon|Nad horizontom
Accelerometer|Akcelerometer
Activate|Aktivovať
Activation|Aktivácia
Activation failed. Check your Internet connection.|Aktivácia zlyhala. Skontrolujte prosím vaše internetové pripojenie.
Active Channels|Aktívne kanály
Active channels|Aktívne kanály
Add|Pridať
Add category|Pridať kategóriu
Add channel|Pridať kanál
Add city|Pridať mesto
Add custom channel|Pridať vlastný kanál
Add new city|Pridať nové mesto
Add note|Pridať poznámku
Add Panel|Pridať panel
Add to Home screen|Pridať na domácu obrazovku
Airplane|Lietadlo
Airplane Mode|Letecký režim
Alcatel Widget|Alcatel Widget
All day|Celý deň
All pictures|Všetky obrázky
Allow resizing of all Android widgets|Povoliť zmenu veľkosti všetkých android widgetov
An hour ago|Pred hodinou
Android Shortcut|Android odkaz
Android Widget|Android Widget
Anniversary|Výročie
Appearance|Vzhľad
Application|Aplikácia
April|Apríl
Aqua|Aqua
Aquarius|Vodnár
Aries|Baran
as of %s|v čase %s
at %s|na %s
atm|atm
Atmospheres|Atmosféry
Atmospheric pressure scale|Stupnica atm. tlaku
August|August
Auto|Auto
Auto (keyboard only)|Auto (len klávesnica)
Auto arrange widgets|Automaticky usporiadať widgety
Automatic|Automatické
Automatic naming|Automatické nazývanie
Backlight|Podsvietenie
Battery|Batéria
Below horizon|Pod horizontom
Birthday|Narodeniny
Birthdays|Narodeniny
Black|Čierna
Blue|Modrá
Bluetooth|Bluetooth
Bookmarks|Záložky
Bookmarks Folder|Priečinok záložiek
Business|Business
Buy!|Kúpiť!
Cache size|Veľkosť cache
Calculator|Kalkulačka
Calendar|Kalendár
Calendar Panel|Panel Kalendár
Calendar Panel Settings|Nastavenia panela Kalendár
Call|Zavolať
Call Log|História volaní
Cancel|Zrušiť
Cancer|Rak
Capricorn|Kozorožec
Categories|Kategórie
Category Name|Názov kategórie
Celsius (#short)|st. C
Change|Zmeniť
Change City|Zmeniť mesto
Change profile|Zmeniť profil
Channels list|Zoznam kanálov
Choose Alcatel Widget|Vybrať Alcatel Widget
Choose Color|Zvoliť farbu
Choose Program|Zvoliť program
Choose SPB Widget|Zvoliť SPB Widget
Choose widget|Zvoliť widget
Clear|Jasno
Clear cache|Vyprázdniť cache
Clock|Hodiny
Cloudy|Oblačno
Cloudy, hail|Oblačno, krúpy
Cloudy, heavy rain|Oblačno, silný dážď
Cloudy, heavy snow|Oblačno, silné sneženie
Cloudy, rain|Oblačno, dážď
Cloudy, rain with snow|Oblačno, dážď so snežením
Cloudy, snow|Oblačno, sneženie
Cloudy, thunder|Oblačno, búrka
Color anaglyph (red/cyan)|Farebný anaglyf (červená/modrozelená)
Communication|Komunikácia
Contact|Kontakt
Contact Settings|Nastavenia kontaktu
Contact Size|Veľkosť kontaktu
Contacts|Kontakty
Contacts Folder|Priečinok Kontaktov
Copyright %s 2007-2011\nSPB Software|Copyright %s 2007-2011\nSPB Software
Copyright %s 2007-2012\nSPB Software|Copyright %s 2007-2012\nSPB Software
Create Folder|Vytvoriť priečinok
Current|Aktuálne
Current city|Terajšie mesto
Current conditions|Aktuálne podmienky
Current Conditions|Aktuálne podmienky
Current skin|Terajší skin
Custom channel|Vlastný kanál
Day|Deň
Deal of the Day|Ponuka dňa
Deal of the Day Panel|Panel ponuky dňa
Deal of the Day Panel Settings|Nastavenia panela ponuky dňa
Deals|Ponuky
December|December
Default|Predvolený
Default Action|Predvolená činnosť
Delete note|Odstrániť poznámku
Dew point:|Rosný bod:
Diagnostic tools|Diagnostické nástroje
Disabled|Vypnuté
Discoverable|Zistiteľný
Done|Hotovo
Download Original|Stiahnuť originál
Downloading images|Sťahovanie obrázkov
E|V
east|východ
Edit channel|Upraviť kanál
Edit Contact|Upraviť kontakt
Edit note|Upraviť poznámku
Edit panels|Upraviť panely
Emergency only|Len núdzové volania
Empty Panel|Prázdny panel
Enable live wallpapers|Povoliť animované pozadia
Enabled|Zapnuté
Enter RSS feed title|Zadajte názov RSS
Enter RSS feed URL|Zadajte URL adresu RSS
Entertainment|Zábava
Error|Chyba
Evening|Večer
Every 2 hours|Každé 2 hodiny
Every 24 hours|Každých 24 hodín
Every 30 Minutes|Každých 30 minút
Every 30 minutes|Každých 30 minút
Every 4 hours|Každé 4 hodiny
Every hour|Každú hodinu
Exit|Ukončiť
Experimental|Experimentálne
Experimental Settings|Experimentálne nastavenia
Experimental settings|Experimentálne nastavenia
Fahrenheit (#short)|st. F
Failed to add contact|Pridanie kontaktu zlyhalo
Failed to load RSS|Načítanie RSS zlyhalo
Failed to load the selected contact. Try to link the contact to Google account or save it to phone.|Nahranie zvoleného kontaktu zlyhalo. Skúste prepojiť telefón s účtom Google, alebo kontakt stiahnite do telefónu.
Favorite Contacts|Obľúbené kontakty
Favorite contacts|Obľúbené kontakty
Favorites|Obľúbené
February|Február
Filter|Filter
First day of the week|Prvý deň týždňa
First Quarter|Prvá štvrť
Flight|Let
Folder|Priečinok
Folder Name|Názov priečinka
Forecast|Predpoveď
from forecast|podľa predpovede
Full Moon|Spln
